energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
75,,1.2607,0.0013,,,,,,,,,,65,84,Tb,,35.75,0.08,11/2-,4.17,,5,m,250.2,3,EC+B+,99.978,0.004,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
98.1,0.2,0.152,0.018,,1124.89,,1026.840,M1,,,2.127,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
117.2,,0.018,0.009,,1144.08,,1026.840,[M1+E2],,,1.35,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
164.98,0.02,26.7,0.6,0.0000000017,164.987,801792,0.0,M1+E2,-0.93,2,0.459,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
165,0.1,7.3,0.5,,165.1,801792,0.0,M1+E2,-0.93,2,0.459,,65,84,Tb,,35.75,0.08,11/2-,4.17,,5,m,250.2,3,EC+B+,99.978,0.004,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
187.22,0.02,4.36,0.11,0.00000000043,352.234,0.0000000017,164.987,M1+E2,0.85,18,0.316,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
219.7,,0.011,0.006,,1992.49,,1772.83,[E1],,,0.0355,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
252.3,0.1,0.089,0.018,,1655.19,,1402.91,[E1],,,0.02475,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
289.3,0.3,0.072,0.018,,1085.5,,796.2,D,,,0.061,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
307.79,0.07,0.268,0.019,,1124.89,,817.100,[E1],,,0.01494,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
317.4,,0.063,0.018,,1402.91,,1085.5,,,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
321.9,,0.018,0.009,,1348.73,,1026.840,[D E2],,,0.046,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
347.7,,0.134,0.018,,1750.59,,1402.91,[D E2],,,0.038,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
352.24,0.02,29.8,0.7,0.00000000043,352.234,801792,0.0,E2,,,0.0371,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
378.5,0.1,0.125,0.018,,1992.49,,1614.05,[E1],,,0.00900,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
388.57,0.02,18.6,0.5,,1205.66,,817.100,M1+E2,-0.21,9,0.0475,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
390.3,,0.12,0.03,,1557.38,,1167.11,[D E2],,,0.028,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
413.3,0.1,0.125,0.01,,1557.38,,1144.08,[D E2],,,0.024,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
432.5,0.2,0.072,0.018,,1557.38,,1124.89,[D E2],,,0.022,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
446.7,0.6,0.027,0.018,,1614.05,,1167.11,,,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
448.5,,0.045,0.009,,1992.49,,1544.13,,,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
449.6,,0.063,0.018,,1655.19,,1205.66,,,,,,65,84,Tb,,0,,1/2+,4.12,,3,h,14832,108,EC+B+,83.3,1.7,3639,5,64,85,Gd,23-Aug-2022,Balraj Singh and Jun Chen,2025-02-24
