energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
165.8,,0.0002,,,,,,,,,,,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-02-24
257.89,0.06,0.0287,0.0007,,257.88,2735.4,0.0,M1+E2,0.59,13,0.57,,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-02-24
335.26,0.05,0.0062,0.0003,,593.13,,257.88,,,,,,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-02-24
501,,0.0002,,,,,,,,,,,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-02-24
593.13,0.03,0.0115,0.0005,,593.13,2735.4,0.0,,,,,,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-02-24
758.9,0.1,0.0049,0.0004,,758.90,2735.4,0.0,,,,,,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-02-24
12.904,,0.005128877985,0.00043389162442384894,,,,,,,,,,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-02-24
74.815,,0.003638727184976842,0.00033632243684606893,,,,,,,,,,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-02-24
77.108,,0.006087882190023159,0.0005621179342301416,,,,,,,,,,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-02-24
87.388,,0.0020853373851454824,0.0001949744783090806,,,,,,,,,,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-02-24
88.458,,0.002723450625,0.0002544231067178318,,,,,,,,,,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-02-24
89.784,,0.0006381132398545176,0.00006056643261004984,,,,,,,,,,85,132,At,,0,,9/2-,32.6,,3,ms,0.0326,0.0003,A,99.993,0.003,7201.4,12,83,130,Bi,1-Jan-2022,M. S. Basunia,2025-02-24

